迭代次数,质量(g),r_plus系数,r_minus系数,容量(mAh)
65,0.050000000000,1.000000000000,1.000000000000,100.000000000000
66,0.050000000000,1.000000000000,1.000000000000,100.000000000000
67,0.050000000000,1.000000000000,1.000000000000,100.000000000000
68,0.050000000000,1.000000000000,1.000000000000,100.000000000000
69,0.050000000000,1.000000000000,1.000000000000,100.000000000000
70,0.050000000000,1.000000000000,1.000000000000,100.000000000000
71,0.050000000000,1.000000000000,1.000000000000,100.000000000000
72,0.050000000000,1.000000000000,1.000000000000,100.000000000000
73,0.050000000000,1.000000000000,1.000000000000,100.000000000000
74,0.050000000000,1.000000000000,1.000000000000,100.000000000000
75,0.050000000000,1.000000000000,1.000000000000,100.000000000000
76,0.050000000000,1.000000000000,1.000000000000,100.000000000000
77,0.050000000000,1.000000000000,1.000000000000,100.000000000000
78,0.050000000000,1.000000000000,1.000000000000,100.000000000000
79,0.050000000000,1.000000000000,1.000000000000,100.000000000000
80,0.050000000000,1.000000000000,1.000000000000,100.000000000000
81,0.050000000000,1.000000000000,1.000000000000,100.000000000000
82,0.050000000000,1.000000000000,1.000000000000,100.000000000000
83,0.050000000000,1.000000000000,1.000000000000,100.000000000000
84,0.050000000000,1.000000000000,1.000000000000,100.000000000000
85,0.050000000000,1.000000000000,1.000000000000,100.000000000000
86,0.050000000000,1.000000000000,1.000000000000,100.000000000000
87,0.050000000000,1.000000000000,1.000000000000,100.000000000000
88,0.050000000000,1.000000000000,1.000000000000,100.000000000000
89,0.050000000000,1.000000000000,1.000000000000,100.000000000000
90,0.050000000000,1.000000000000,1.000000000000,100.000000000000
91,0.050000000000,1.000000000000,1.000000000000,100.000000000000
92,0.050000000000,1.000000000000,1.000000000000,100.000000000000
93,0.050000000000,1.000000000000,1.000000000000,100.000000000000
94,0.050000000000,1.000000000000,1.000000000000,100.000000000000
95,0.050000000000,1.000000000000,1.000000000000,100.000000000000
96,0.050000000000,1.000000000000,1.000000000000,100.000000000000
97,0.050000000000,1.000000000000,1.000000000000,100.000000000000
98,0.050000000000,1.000000000000,1.000000000000,100.000000000000
99,0.050000000000,1.000000000000,1.000000000000,100.000000000000
100,0.050000000000,1.000000000000,1.000000000000,100.000000000000
